question,answer
Chuẩn ngoại ngữ để tốt nghiệp là gì?,"Chứng chỉ B1 hoặc tương đương, hoặc bằng cấp quốc tế."
Thời hạn hiệu lực của chứng chỉ ngoại ngữ là bao lâu?,2 năm tính đến ngày xét tốt nghiệp.
Luận văn bị phát hiện sao chép thì sao?,"Bị hủy kết quả, điểm đánh giá là 0."
Trách nhiệm của Bộ môn đào tạo là gì?,"Quản lý học viên, giám sát thực hiện luận văn, phân công giảng viên."
Khoa có nhiệm vụ gì?,"Quản lý học viên, tổ chức giảng dạy, hỗ trợ học viên."
Phòng Đào tạo sau đại học làm gì?,"Tổ chức nhập học, đăng ký học phần, quản lý học vụ."
Điều kiện hoãn thi là gì?,"Có đơn, lý do chính đáng, đã hoàn thành phần học bắt buộc."
Luận văn cần bao nhiêu bản thuyết minh khi nộp?,Tối thiểu 5 bản bìa mềm.
Đề cương luận văn được đánh giá như thế nào?,"Theo ba mức: Đạt, Đạt (sửa chữa), Không đạt."
Quy định đào tạo thạc sĩ này áp dụng cho đối tượng nào?,Áp dụng tại Trường Đại học Bách Khoa – ĐHQG-HCM.
Điều kiện để được xét miễn giảm học phí là gì?,Xét theo các quy định hiện hành và trường hợp cụ thể.
Chương trình đào tạo thạc sĩ nghiên cứu giúp học viên có khả năng làm gì?,"Giúp học viên thực hiện các công việc nghiên cứu, giảng dạy, tư vấn và hoạch định chính sách."
Môn ngoại ngữ có tính vào điểm trung bình tích lũy không?,Không tính trong điểm trung bình tích lũy.
Học viên có thể tạm dừng học bao lâu mà không bị mất quyền lợi?,Tối đa 1 năm.
Phần kiến thức bổ sung có bao nhiêu tín chỉ?,15 tín chỉ.
Điều kiện để học viên đăng ký chương trình đào tạo nghiên cứu là gì?,Tốt nghiệp đại học loại khá trở lên và có giấy cam kết đảm bảo 50% thời gian nghiên cứu.
Khối kiến thức bắt buộc chuyên ngành có bao nhiêu tín chỉ?,12 đến 16 tín chỉ.
Khối kiến thức tự chọn chuyên ngành có bao nhiêu tín chỉ?,8 đến 12 tín chỉ.
Điều kiện để học viên bảo vệ luận văn là gì?,"Hoàn thành chương trình đào tạo, điểm trung bình tích lũy từ 5,5 trở lên."
Điều kiện để luận văn thạc sĩ được bảo vệ là gì?,Có ít nhất một cán bộ phản biện đồng ý cho phép bảo vệ.
Chương trình đào tạo thạc sĩ ứng dụng giúp học viên nâng cao kỹ năng gì?,"Nâng cao kiến thức chuyên môn và kỹ năng làm việc độc lập, sáng tạo."
Điều kiện miễn học môn học là gì?,Có chứng chỉ môn học sau đại học còn hiệu lực hoặc đã hoàn tất các môn học thuộc khối kiến thức bổ sung.
Điều kiện đăng ký môn học tự chọn là gì?,Học viên có quyền chọn môn học tự chọn từ tất cả các môn học được giảng dạy trong học kỳ tương ứng.
Học viên có thể đăng ký tối đa bao nhiêu tín chỉ trong một học kỳ?,"Tối đa 20 tín chỉ, ngoại trừ học kỳ thực hiện luận văn Thạc sĩ."
Học viên có quyền lựa chọn môn học từ ngành khác không?,"Có, tối đa 6 tín chỉ nếu được sự đồng ý của Khoa."
Điều kiện miễn thi môn học là gì?,"Đạt yêu cầu xuất sắc trong các kỳ kiểm tra, có báo cáo chuyên đề cấp ĐHQG."
Điều kiện để học viên rút môn học là gì?,Phải có kết quả đăng ký môn học và nộp đủ học phí học kỳ tương ứng.
Thời gian nộp đơn xin rút môn học là khi nào?,Trong vòng 10 tuần kể từ ngày bắt đầu học kỳ.
Điều kiện để học viên cải thiện điểm môn học là gì?,Học viên có thể đăng ký học lại môn học đã đạt yêu cầu để cải thiện điểm.
Kết quả của học viên cải thiện điểm môn học được tính như thế nào?,Kết quả cao nhất trong các lần học lại được chọn để tính điểm trung bình tích lũy.
Học viên có thể thay đổi tên đề tài luận văn không?,"Có, học viên phải có đơn đề nghị và được sự chấp thuận của cán bộ hướng dẫn."
Thủ tục để thay đổi cán bộ hướng dẫn là gì?,Học viên cần có đơn đề nghị và sự chấp thuận của cán bộ hướng dẫn chính và phụ.
Học viên có thể gia hạn thời gian thực hiện luận văn không?,"Có, nhưng chỉ được gia hạn 1 lần và phải có đơn chấp thuận của cán bộ hướng dẫn."
Điều kiện để học viên bảo vệ luận văn là gì?,Nộp luận văn đúng hạn và có ít nhất 1 cán bộ phản biện đồng ý cho phép bảo vệ.
Thành viên hội đồng đánh giá luận văn phải đáp ứng những yêu cầu nào?,"Phải có học vị tiến sĩ hoặc chức danh phó giáo sư, giáo sư cùng ngành đào tạo với học viên."
Điều kiện để luận văn được đánh giá là đạt yêu cầu là gì?,"Điểm đánh giá luận văn từ 5,5 trở lên."
Thời gian tối đa để tổ chức bảo vệ luận văn là bao lâu?,Tối đa 60 ngày làm việc kể từ ngày ra quyết định thành lập hội đồng.
Đề cương luận văn thạc sĩ có được chỉnh sửa không?,"Có, nếu kết quả đánh giá đề cương là Đạt (có yêu cầu sửa chữa)."
Điều kiện để học viên đăng ký học lại môn học là gì?,Đã hoàn thành xuất sắc phần học yêu cầu của môn học và muốn cải thiện điểm.
Học viên có thể đăng ký học lại môn học vào thời điểm nào?,Giống như thủ tục đăng ký môn học lần đầu.
Chương trình đào tạo thạc sĩ nghiên cứu bao gồm những môn học nào?,"Triết học, ngoại ngữ, các môn học chung, và các môn học chuyên ngành."
Học viên có thể rút môn học đã đăng ký trong trường hợp nào?,Khi có đơn xin và các điều kiện đã được chấp thuận.
Thời gian tổ chức thi kết thúc môn học là do ai quyết định?,Khoa quản lý môn học quyết định hình thức thi và phân công cán bộ coi thi.
Các yêu cầu đối với giảng viên hướng dẫn luận văn là gì?,"Phải có bằng Tiến sĩ hoặc chức danh giáo sư, phó giáo sư."
Làm thế nào để học viên được phép bảo vệ luận văn?,Cần có xác nhận của cán bộ hướng dẫn và ít nhất một cán bộ phản biện đồng ý.
Trường hợp học viên không hoàn thành luận văn có thể làm gì?,Có thể làm lại luận văn sau 3 đến 6 tháng.
Học viên có quyền điều chỉnh loại chương trình đào tạo không?,"Có, học viên có thể nộp đơn xin điều chỉnh loại chương trình đào tạo trong học kỳ."
Chứng chỉ ngoại ngữ có giá trị trong bao lâu?,Chứng chỉ ngoại ngữ có giá trị 2 năm kể từ ngày xét đạt chuẩn.
Thời gian thực hiện luận văn thạc sĩ đối với chương trình thạc sĩ ứng dụng là bao lâu?,1 học kỳ.
Học viên không hoàn thành chương trình đào tạo thạc sĩ thì sao?,Sẽ bị buộc thôi học.
Học viên có quyền tham gia các sinh hoạt khoa học không?,"Có, học viên có quyền tham gia các sinh hoạt khoa học liên quan đến nhiệm vụ học tập."
Giảng viên có quyền mời thỉnh giảng không?,"Có, giảng viên có quyền mời thỉnh giảng trong quá trình giảng dạy."
Học viên có thể nhận chứng chỉ sau đại học khi nào?,Khi hoàn thành các khóa học bổ sung và đáp ứng yêu cầu của chương trình.
Môn học có thể thay thế môn học không được tổ chức giảng dạy không?,"Có, học viên có thể chọn môn học khác thay thế nếu môn học không còn trong chương trình."
Cán bộ hướng dẫn có trách nhiệm gì đối với luận văn thạc sĩ?,Cán bộ hướng dẫn có trách nhiệm giúp học viên hoàn thiện luận văn và báo cáo tiến độ định kỳ.
Khiếu nại về điểm môn học sẽ được giải quyết trong bao lâu?,Trong vòng 7 ngày tính từ ngày công bố kết quả.
Khoa có trách nhiệm gì đối với luận văn thạc sĩ?,"Phê duyệt đề cương, phân công cán bộ hướng dẫn và đánh giá luận văn."
Điều kiện tham gia bảo vệ luận văn là gì?,Hoàn thành chương trình đào tạo và có ít nhất một cán bộ phản biện đồng ý.
Nếu học viên vắng thi không phép thì sao?,Học viên sẽ bị điểm 0 cho môn thi đó.
